School,School ID,Type,Coord East,Coord South,Google Maps Link,Google Maps
Bambino,298,ECD,-34.011901,24.34647901,"https://www.google.com/maps?q=-34.011900712874024,24.34647900963787","https://www.google.com/maps?q=-34.011900712874024,24.34647900963787"
Bavumeleni,53,ECD,-33.807776,25.59114572,"https://www.google.com/maps?q=-33.80777610353109,25.591145717499714","https://www.google.com/maps?q=-33.80777610353109,25.591145717499714"
Bayview,173,Primary,,,,
Ben Nyati,203,Primary,-33.881926,25.58863118,"https://www.google.com/maps?q=-33.88192649885194,25.588631181373636","https://www.google.com/maps?q=-33.88192649885194,25.588631181373636"
Ben Sinuka,289,Primary,-33.892277,25.60263263,"https://www.google.com/maps?q=-33.892276994066776,25.602632631083768","https://www.google.com/maps?q=-33.892276994066776,25.602632631083768"
Bethelsdorp,87,Primary,-33.86787,25.51287296,"https://www.google.com/maps?q=-33.867870478015405,25.512872958174313","https://www.google.com/maps?q=-33.867870478015405,25.512872958174313"
Bethvale,72,Primary,-33.877126,25.50194034,"https://www.google.com/maps?q=-33.877126279731684,25.501940339675247","https://www.google.com/maps?q=-33.877126279731684,25.501940339675247"
BJ Mnyanda,57,Primary,-33.888347,25.58640198,"https://www.google.com/maps?q=-33.888347,25.58640198","https://www.google.com/maps?q=-33.888347,25.58640198"
Boet Jegels,159,Primary,,,,
Bomi obutsha,257,ECD,,,,
Bright Angels,299,ECD,-33.803449,25.57836548,"https://www.google.com/maps?q=-33.80344859167251,25.578365483217258","https://www.google.com/maps?q=-33.80344859167251,25.578365483217258"
Busy Bee,262,ECD,-33.868025,25.57241663,"https://www.google.com/maps?q=-33.868025,25.57241663","https://www.google.com/maps?q=-33.868025,25.57241663"
C W Hendrickse,122,Primary,-33.739724,25.37254448,"https://www.google.com/maps?q=-33.73972422059023,25.372544481996997","https://www.google.com/maps?q=-33.73972422059023,25.372544481996997"
Canzibe,90,Primary,-33.802247,25.59731976,"https://www.google.com/maps?q=-33.802247,25.59731976","https://www.google.com/maps?q=-33.802247,25.59731976"
Caritas,182,Primary,-33.732837,25.37111518,"https://www.google.com/maps?q=-33.7328374889468,25.371115181520935","https://www.google.com/maps?q=-33.7328374889468,25.371115181520935"
Cebelihle,68,Primary,-33.867528,25.54803349,"https://www.google.com/maps?q=-33.86752756212128,25.548033493650596","https://www.google.com/maps?q=-33.86752756212128,25.548033493650596"
Cedarberg,110,Primary,-33.862788,25.46711079,"https://www.google.com/maps?q=-33.862787649758445,25.46711079365035","https://www.google.com/maps?q=-33.862787649758445,25.46711079365035"
Charles Duna,281,Primary,-33.895661,25.5925477,"https://www.google.com/maps?q=-33.89566123178045,25.592547701661456","https://www.google.com/maps?q=-33.89566123178045,25.592547701661456"
Chubekile,36,High School,-33.877926,25.57214225,"https://www.google.com/maps?q=-33.877925533346506,25.572142251321974","https://www.google.com/maps?q=-33.877925533346506,25.572142251321974"
Cillie,325,High School,,,,
Cingani,26,High School,-33.821006,25.58854341,"https://www.google.com/maps?q=-33.82100558010914,25.58854340898934","https://www.google.com/maps?q=-33.82100558010914,25.58854340898934"
Clarkson,319,Primary,-34.010486,24.34785856,"https://www.google.com/maps?q=-34.010486417378,24.347858558901436","https://www.google.com/maps?q=-34.010486417378,24.347858558901436"
Coega,190,Primary,-33.820179,25.6355742,"https://www.google.com/maps?q=-33.82017871258245,25.63557419502069","https://www.google.com/maps?q=-33.82017871258245,25.63557419502069"
Colchester,113,Primary,,,,
Colleen Glen,111,Primary,-33.970214,25.36963135,"https://www.google.com/maps?q=-33.97021392573423,25.36963135317452","https://www.google.com/maps?q=-33.97021392573423,25.36963135317452"
Coselelani,1,High School,-33.80493,25.57257724,"https://www.google.com/maps?q=-33.80492979897343,25.57257723782387","https://www.google.com/maps?q=-33.80492979897343,25.57257723782387"
Cowan,37,High School,-33.903894,25.59309875,"https://www.google.com/maps?q=-33.903893794138995,25.593098753170832","https://www.google.com/maps?q=-33.903893794138995,25.593098753170832"
Cuttee Babies Nursery,232,ECD,-33.897187,25.60321669,"https://www.google.com/maps?q=-33.89718748030103,25.60321668705437","https://www.google.com/maps?q=-33.89718748030103,25.60321668705437"
Dalrose,196,Primary,-33.738101,25.37292219,"https://www.google.com/maps?q=-33.73810100044496,25.372922193169632","https://www.google.com/maps?q=-33.73810100044496,25.372922193169632"
Dalubuhle,10,High School,,,,
Daniels,98,Primary,-33.866675,25.56901188,"https://www.google.com/maps?q=-33.86667473433699,25.56901187830917","https://www.google.com/maps?q=-33.86667473433699,25.56901187830917"
David Vuku,64,Primary,-33.894887,25.59907722,"https://www.google.com/maps?q=-33.894886696846164,25.599077222731083","https://www.google.com/maps?q=-33.894886696846164,25.599077222731083"
De Vos Malan,114,Primary,-33.929302,25.56685108,"https://www.google.com/maps?q=-33.929302025365274,25.566851083854964","https://www.google.com/maps?q=-33.929302025365274,25.566851083854964"
Despatch,132,Primary,-33.816337,25.46301195,"https://www.google.com/maps?q=-33.8163365353468,25.463011951318403","https://www.google.com/maps?q=-33.8163365353468,25.463011951318403"
Dias,189,Primary,,,,
Die Heuwel,153,Primary,-33.899824,25.53224312,"https://www.google.com/maps?q=-33.89982399705243,25.532243122487795","https://www.google.com/maps?q=-33.89982399705243,25.532243122487795"
Dietrich,121,Primary,-33.936037,25.57731125,"https://www.google.com/maps?q=-33.936037448660194,25.577311253172695","https://www.google.com/maps?q=-33.936037448660194,25.577311253172695"
Dorcas Educare Centre,239,ECD,,,,
Dorothy,318,ECD,-33.886021,25.59799722,"https://www.google.com/maps?q=-33.88602111972884,25.597997219949217","https://www.google.com/maps?q=-33.88602111972884,25.597997219949217"
Douglas Mbopa,2,High School,-33.79838,25.60828648,"https://www.google.com/maps?q=-33.79838036013801,25.608286480152778","https://www.google.com/maps?q=-33.79838036013801,25.608286480152778"
Dr A W Habelgaarn,191,Primary,-33.866032,25.50363172,"https://www.google.com/maps?q=-33.86603228954331,25.503631720166496","https://www.google.com/maps?q=-33.86603228954331,25.503631720166496"
Dumani,280,Primary,-33.810768,25.60414135,"https://www.google.com/maps?q=-33.810768,25.60414135","https://www.google.com/maps?q=-33.810768,25.60414135"
Early Rose,230,ECD,-33.797187,25.60007679,"https://www.google.com/maps?q=-33.797187,25.60007679","https://www.google.com/maps?q=-33.797187,25.60007679"
Ebongweni,288,Primary,-33.886577,25.59307854,"https://www.google.com/maps?q=-33.88657731182538,25.593078539044985","https://www.google.com/maps?q=-33.88657731182538,25.593078539044985"
Ekhaya,282,ECD,,,,
Elufefeni,274,Primary,-33.815895,25.578323,"https://www.google.com/maps?q=-33.815895,25.578323","https://www.google.com/maps?q=-33.815895,25.578323"
Elukholweni,108,Primary,,,,
Elundini,54,Primary,-33.800416,25.59449585,"https://www.google.com/maps?q=-33.800415905113304,25.594495854268374","https://www.google.com/maps?q=-33.800415905113304,25.594495854268374"
Emafini,73,Primary,,,,
Emfundweni,210,Primary,-33.85889,25.5524116,"https://www.google.com/maps?q=-33.85889000634322,25.552411596136718","https://www.google.com/maps?q=-33.85889000634322,25.552411596136718"
Emfundweni Pre-R Educare,213,ECD,,,,
Emmanuel Day Care,91,ECD,-33.882236,25.58708277,"https://www.google.com/maps?q=-33.88223647819642,25.587082772014572","https://www.google.com/maps?q=-33.88223647819642,25.587082772014572"
Empumalanga,305,Primary,-33.802862,25.57756184,"https://www.google.com/maps?q=-33.80286155057907,25.57756184442606","https://www.google.com/maps?q=-33.80286155057907,25.57756184442606"
Emsengeni,76,Primary,-33.865656,25.56207521,"https://www.google.com/maps?q=-33.86565618061583,25.56207521160438","https://www.google.com/maps?q=-33.86565618061583,25.56207521160438"
Emzomncane,99,Primary,-33.866267,25.57792042,"https://www.google.com/maps?q=-33.866267077235044,25.5779204204903","https://www.google.com/maps?q=-33.866267077235044,25.5779204204903"
Enkulekweni,75,Primary,-33.772173,25.57161513,"https://www.google.com/maps?q=-33.772173252599856,25.571615126175484","https://www.google.com/maps?q=-33.772173252599856,25.571615126175484"
Enkwenkwezini,70,Primary,-33.800786,25.61273917,"https://www.google.com/maps?q=-33.800785765084896,25.612739166658976","https://www.google.com/maps?q=-33.800785765084896,25.612739166658976"
Enqileni,97,Primary,-33.804634,25.60595884,"https://www.google.com/maps?q=-33.80463379329519,25.60595884336618","https://www.google.com/maps?q=-33.80463379329519,25.60595884336618"
Entokozweni EduCare,247,ECD,,,,
Esitiyeni,198,Primary,-33.859314,25.56174444,"https://www.google.com/maps?q=-33.8593135221202,25.561744439198915","https://www.google.com/maps?q=-33.8593135221202,25.561744439198915"
EZ Kabane,46,High School,-33.840035,,,
Ezibeleni ,231,ECD,,,,
Fernwood Park,164,Primary,-33.865372,25.51732061,"https://www.google.com/maps?q=-33.86537245649928,25.51732060851798","https://www.google.com/maps?q=-33.86537245649928,25.51732060851798"
Fontein,161,Primary,-33.912376,25.55539306,"https://www.google.com/maps?q=-33.91237570919772,25.555393064345097","https://www.google.com/maps?q=-33.91237570919772,25.555393064345097"
Frank Joubert,180,Primary,-33.931611,25.57211218,"https://www.google.com/maps?q=-33.93161072420069,25.572112181533065","https://www.google.com/maps?q=-33.93161072420069,25.572112181533065"
Fumisukoma,283,Primary,-33.802852,25.5819545,"https://www.google.com/maps?q=-33.802852,25.5819545","https://www.google.com/maps?q=-33.802852,25.5819545"
Funimfundo,62,Primary,-33.854207,25.55261465,"https://www.google.com/maps?q=-33.85420710598839,25.552614653167943","https://www.google.com/maps?q=-33.85420710598839,25.552614653167943"
Future Angels ,52,ECD,,,,
Future Kids Educare,225,ECD,-33.893066,25.5929246,"https://www.google.com/maps?q=-33.893066,25.5929246","https://www.google.com/maps?q=-33.893066,25.5929246"
Future Stars,255,ECD,-33.811756,25.60075933,"https://www.google.com/maps?q=-33.811756,25.60075933","https://www.google.com/maps?q=-33.811756,25.60075933"
G J Louw,155,Primary,-33.935996,25.57927837,"https://www.google.com/maps?q=-33.93599614343864,25.579278366666603","https://www.google.com/maps?q=-33.93599614343864,25.579278366666603"
Garrett,88,Primary,-33.866781,25.55838072,"https://www.google.com/maps?q=-33.86678061125113,25.55838072433332","https://www.google.com/maps?q=-33.86678061125113,25.55838072433332"
Gelvan Park,170,Primary,-33.919547,25.56233597,"https://www.google.com/maps?q=-33.91954698890374,25.562335966191586","https://www.google.com/maps?q=-33.91954698890374,25.562335966191586"
Gelvandale,130,Primary,-33.915326,25.55693785,"https://www.google.com/maps?q=-33.915326293762064,25.556937851323944","https://www.google.com/maps?q=-33.915326293762064,25.556937851323944"
Gertrude Shope,275,Primary,-33.859704,25.541302,"https://www.google.com/maps?q=-33.859704,25.541302","https://www.google.com/maps?q=-33.859704,25.541302"
Good Hope,287,ECD,-33.902598,25.60338327,"https://www.google.com/maps?q=-33.902598,25.60338327","https://www.google.com/maps?q=-33.902598,25.60338327"
Govan Mbeki,223,ECD,-33.798819,25.5887621,"https://www.google.com/maps?q=-33.798819,25.5887621","https://www.google.com/maps?q=-33.798819,25.5887621"
Green Apple,301,ECD,-33.867071,25.58793328,"https://www.google.com/maps?q=-33.86707115202112,25.58793327845681","https://www.google.com/maps?q=-33.86707115202112,25.58793327845681"
Greenville,112,Primary,-33.870826,25.50163708,"https://www.google.com/maps?q=-33.87082617881431,25.50163708015685","https://www.google.com/maps?q=-33.87082617881431,25.50163708015685"
Helenvale,145,Primary,-33.910843,25.55188882,"https://www.google.com/maps?q=-33.9108431517283,25.55188882064093","https://www.google.com/maps?q=-33.9108431517283,25.55188882064093"
Hillcrest,166,Primary,-33.707917,25.54532815,"https://www.google.com/maps?q=-33.70791650168423,25.545328145437544","https://www.google.com/maps?q=-33.70791650168423,25.545328145437544"
Hlokoma,44,High School,,,,
Hlumelo,258,ECD,-33.808345,25.60379802,"https://www.google.com/maps?q=-33.808345,25.60379802","https://www.google.com/maps?q=-33.808345,25.60379802"
Holy Name Community,261,ECD,-33.904184,25.59829863,"https://www.google.com/maps?q=-33.904184489353234,25.598298627540355","https://www.google.com/maps?q=-33.904184489353234,25.598298627540355"
Hombakazi,184,Primary,-33.820426,25.39174476,"https://www.google.com/maps?q=-33.82042561941802,25.391744764339418","https://www.google.com/maps?q=-33.82042561941802,25.391744764339418"
Ikamvalethu,250,ECD,-33.798033,25.5810718,"https://www.google.com/maps?q=-33.798033,25.5810718","https://www.google.com/maps?q=-33.798033,25.5810718"
Ikhwezelihle,95,Primary,-33.817415,25.5837617,"https://www.google.com/maps?q=-33.81741541345923,25.583761695495234","https://www.google.com/maps?q=-33.81741541345923,25.583761695495234"
Ilinge,175,Primary,-33.743041,25.38749504,"https://www.google.com/maps?q=-33.743040809177266,25.387495037345733","https://www.google.com/maps?q=-33.743040809177266,25.387495037345733"
Ilitha,105,Primary,,,,
Ilithalethu,94,ECD,-33.781716,25.58129948,"https://www.google.com/maps?q=-33.7817163663,25.58129947814828","https://www.google.com/maps?q=-33.7817163663,25.58129947814828"
Imbasa,66,Primary,-33.77269,25.58732145,"https://www.google.com/maps?q=-33.77268979718923,25.58732144553482","https://www.google.com/maps?q=-33.77268979718923,25.58732144553482"
Inkqubela,55,Primary,-33.877579,25.60279,"https://www.google.com/maps?q=-33.87757949882382,25.602789998568316","https://www.google.com/maps?q=-33.87757949882382,25.602789998568316"
Isaac Booi,277,Primary,-33.869901,25.56702346,"https://www.google.com/maps?q=-33.86990109981518,25.567023463076644","https://www.google.com/maps?q=-33.86990109981518,25.567023463076644"
Isilimela,8,High School,-33.945811,18.54018845,"https://www.google.com/maps?q=-33.94581126476353,18.540188445221464","https://www.google.com/maps?q=-33.94581126476353,18.540188445221464"
Isizwe Sethu,265,ECD,-33.797585,25.60199828,"https://www.google.com/maps?q=-33.797585,25.60199828","https://www.google.com/maps?q=-33.797585,25.60199828"
Ithembalethu,268,ECD,,,,
Ithembelihle,13,High School,-33.902457,25.58552687,"https://www.google.com/maps?q=-33.90245668679504,25.585526866664686","https://www.google.com/maps?q=-33.90245668679504,25.585526866664686"
J K Zondi,169,Primary,-33.877141,25.57278062,"https://www.google.com/maps?q=-33.877140564915294,25.57278062385935","https://www.google.com/maps?q=-33.877140564915294,25.57278062385935"
J N Tulwana,194,Primary,-33.80855,25.38245673,"https://www.google.com/maps?q=-33.80855030140856,25.38245673363234","https://www.google.com/maps?q=-33.80855030140856,25.38245673363234"
James Jolobe,24,High School,-33.813516,25.58926007,"https://www.google.com/maps?q=-33.81351586202761,25.58926006850705","https://www.google.com/maps?q=-33.81351586202761,25.58926006850705"
James Ndulula,163,Primary,-33.735137,25.39051803,"https://www.google.com/maps?q=-33.735136584059475,25.390518033652995","https://www.google.com/maps?q=-33.735136584059475,25.390518033652995"
James Ntungwana,116,Primary,-33.803117,25.38084416,"https://www.google.com/maps?q=-33.80311709425297,25.380844164811776","https://www.google.com/maps?q=-33.80311709425297,25.380844164811776"
Jarvis Gqamlana,49,Primary,-33.903182,25.60289521,"https://www.google.com/maps?q=-33.903181597594866,25.60289520836473","https://www.google.com/maps?q=-33.903181597594866,25.60289520836473"
Jeffrey's Bay,15,High School,-34.050288,24.91195819,"https://www.google.com/maps?q=-34.05028841319953,24.91195819299756","https://www.google.com/maps?q=-34.05028841319953,24.91195819299756"
Jesus Dominion,310,ECD,,,,
Joe Slovo,131,Primary,-33.829716,25.50267762,"https://www.google.com/maps?q=-33.82971585116566,25.502677622483915","https://www.google.com/maps?q=-33.82971585116566,25.502677622483915"
John Masiza,192,Primary,,,,
Jongilanga,290,ECD,-33.892279,25.60689462,"https://www.google.com/maps?q=-33.892279,25.60689462","https://www.google.com/maps?q=-33.892279,25.60689462"
Jongingomso ECD,267,ECD,-33.805937,25.60518046,"https://www.google.com/maps?q=-33.80593666819742,25.60518045818854","https://www.google.com/maps?q=-33.80593666819742,25.60518045818854"
Jubilee Park,171,Primary,-33.754513,25.38044213,"https://www.google.com/maps?q=-33.75451300818391,25.38044212569802","https://www.google.com/maps?q=-33.75451300818391,25.38044212569802"
Kama,71,Primary,-33.903996,25.59887605,"https://www.google.com/maps?q=-33.90399612032088,25.59887605085005","https://www.google.com/maps?q=-33.90399612032088,25.59887605085005"
Kamvalethu Daycare,214,ECD,-33.82653,25.50873476,"https://www.google.com/maps?q=-33.826529702079064,25.50873476416316","https://www.google.com/maps?q=-33.826529702079064,25.50873476416316"
Kayser Ngxwana,65,Primary,-33.876243,25.59342664,"https://www.google.com/maps?q=-33.87624287519675,25.593426637827807","https://www.google.com/maps?q=-33.87624287519675,25.593426637827807"
Khanyisa,317,Primary,,,,
Khanyisa HS,47,High School,,,,
Khazimla,248,ECD,-33.896984,25.60754139,"https://www.google.com/maps?q=-33.896984,25.60754139","https://www.google.com/maps?q=-33.896984,25.60754139"
Khazimla Pre-School,208,ECD,-33.784356,25.56355004,"https://www.google.com/maps?q=-33.78435559694722,25.56355004395153","https://www.google.com/maps?q=-33.78435559694722,25.56355004395153"
Khulile,86,Primary,-33.810946,25.58231362,"https://www.google.com/maps?q=-33.81094561433684,25.58231362248281","https://www.google.com/maps?q=-33.81094561433684,25.58231362248281"
Khumbulani,5,High School,-33.95743,25.6147742,"https://www.google.com/maps?q=-33.95743048071028,25.614774197350563","https://www.google.com/maps?q=-33.95743048071028,25.614774197350563"
Khwezi Lomso,4,High School,-33.868159,25.5537501,"https://www.google.com/maps?q=-33.86815882968297,25.55375010308872","https://www.google.com/maps?q=-33.86815882968297,25.55375010308872"
Kideo Learning Centre,222,ECD,-33.823376,25.58350758,"https://www.google.com/maps?q=-33.82337578572086,25.58350757931889","https://www.google.com/maps?q=-33.82337578572086,25.58350757931889"
Kids College,56,ECD,-33.776859,25.57055492,"https://www.google.com/maps?q=-33.77685901212574,25.57055492043574","https://www.google.com/maps?q=-33.77685901212574,25.57055492043574"
Kings and Quuens,237,ECD,-33.865724,25.57466131,"https://www.google.com/maps?q=-33.865723583230995,25.574661305043687","https://www.google.com/maps?q=-33.865723583230995,25.574661305043687"
KK Ncwana,89,Primary,-33.88001,25.57602828,"https://www.google.com/maps?q=-33.88000954461438,25.57602828015732","https://www.google.com/maps?q=-33.88000954461438,25.57602828015732"
Kleinskool,137,Primary,-33.857259,25.51656528,"https://www.google.com/maps?q=-33.85725925435003,25.516565278308704","https://www.google.com/maps?q=-33.85725925435003,25.516565278308704"
Koester,106,ECD,-33.815336,25.58711732,"https://www.google.com/maps?q=-33.81533579830646,25.587117317512114","https://www.google.com/maps?q=-33.81533579830646,25.587117317512114"
Kokkewiet,292,ECD,,,,
Kroneberg,77,Primary,-33.865135,25.49408062,"https://www.google.com/maps?q=-33.865134973246356,25.49408062433332","https://www.google.com/maps?q=-33.865134973246356,25.49408062433332"
Kruisrivier,186,Primary,-33.765362,25.34922857,"https://www.google.com/maps?q=-33.76536241967626,25.34922856618221","https://www.google.com/maps?q=-33.76536241967626,25.34922856618221"
Kuyga,183,Primary,-33.923017,25.44427145,"https://www.google.com/maps?q=-33.92301743074197,25.444271452697272","https://www.google.com/maps?q=-33.92301743074197,25.444271452697272"
Kwakhanya,240,ECD,,,,
Kwakhanya Daycare,209,ECD,,,,
KwaMagxaki,23,High School,-33.84802,25.54222395,"https://www.google.com/maps?q=-33.84801992644832,25.542223953167625","https://www.google.com/maps?q=-33.84801992644832,25.542223953167625"
KwaNoXolo,82,Primary,-33.857541,25.48796558,"https://www.google.com/maps?q=-33.857541169778905,25.487965582003472","https://www.google.com/maps?q=-33.857541169778905,25.487965582003472"
Kwazakhele,28,High School,-33.88352,25.57578934,"https://www.google.com/maps?q=-33.88351981060781,25.57578933967558","https://www.google.com/maps?q=-33.88351981060781,25.57578933967558"
Lamani,67,Primary,-33.893829,25.59003491,"https://www.google.com/maps?q=-33.893829,25.59003491","https://www.google.com/maps?q=-33.893829,25.59003491"
Lavela Pre-School,215,ECD,,,,
Libhongo Lwethu,61,ECD,-33.817753,25.58517385,"https://www.google.com/maps?q=-33.817752707466994,25.585173853805117","https://www.google.com/maps?q=-33.817752707466994,25.585173853805117"
lihlombe Educare,207,ECD,-33.876113,25.56777245,"https://www.google.com/maps?q=-33.876112569529624,25.56777244881056","https://www.google.com/maps?q=-33.876112569529624,25.56777244881056"
Likhaya Daycare,216,ECD,-33.861104,25.57001441,"https://www.google.com/maps?q=-33.86110447356961,25.57001440644629","https://www.google.com/maps?q=-33.86110447356961,25.57001440644629"
Linge Tots,244,ECD,-33.870429,25.58653796,"https://www.google.com/maps?q=-33.87042893406667,25.58653795619738","https://www.google.com/maps?q=-33.87042893406667,25.58653795619738"
Lingelethu,322,Primary,-32.691737,26.30642032,"https://www.google.com/maps?q=-32.69173724467355,26.306420324922748","https://www.google.com/maps?q=-32.69173724467355,26.306420324922748"
Lithemba,309,ECD,-33.870954,25.58511004,"https://www.google.com/maps?q=-33.87095351349572,25.585110036828645","https://www.google.com/maps?q=-33.87095351349572,25.585110036828645"
Little Angels Unite,254,ECD,,,,
Little Flower,187,Primary,-33.750837,25.40018209,"https://www.google.com/maps?q=-33.75083718176702,25.400182093170432","https://www.google.com/maps?q=-33.75083718176702,25.400182093170432"
Little Flowers ,328,ECD,,,,
Little Ships,226,ECD,-33.891912,25.60715675,"https://www.google.com/maps?q=-33.891912,25.60715675","https://www.google.com/maps?q=-33.891912,25.60715675"
Living Ubuntu,316,ECD,-34.165628,24.664366,"https://www.google.com/maps?q=-34.165628,24.664366","https://www.google.com/maps?q=-34.165628,24.664366"
Livuse,79,ECD,-33.797813,25.61568401,"https://www.google.com/maps?q=-33.79781278343788,25.615684011568295","https://www.google.com/maps?q=-33.79781278343788,25.615684011568295"
Lovemore Park,176,Primary,-34.013873,25.51990144,"https://www.google.com/maps?q=-34.013872689660005,25.519901437362172","https://www.google.com/maps?q=-34.013872689660005,25.519901437362172"
Loyiso,42,High School,-33.870509,25.56410352,"https://www.google.com/maps?q=-33.87050854890195,25.56410351843085","https://www.google.com/maps?q=-33.87050854890195,25.56410351843085"
Lukhanyiselo,241,ECD,-33.903268,25.58865101,"https://www.google.com/maps?q=-33.903268,25.58865101","https://www.google.com/maps?q=-33.903268,25.58865101"
Lukhanyiso,229,ECD,,,,
Lukhanyiso Educare,271,ECD,-33.86105,25.54001122,"https://www.google.com/maps?q=-33.86105011790571,25.5400112238584","https://www.google.com/maps?q=-33.86105011790571,25.5400112238584"
Lukhanyiso Pre School,220,ECD,,,,
Lukhanyo,63,ECD,-33.87822,25.59050672,"https://www.google.com/maps?q=-33.87822037098309,25.590506724885252","https://www.google.com/maps?q=-33.87822037098309,25.590506724885252"
Lungisa,22,High School,-33.844498,25.51518252,"https://www.google.com/maps?q=-33.844497888776345,25.51518252433201","https://www.google.com/maps?q=-33.844497888776345,25.51518252433201"
Lungiso,45,High School,,,,
Luv Birds Day care,253,ECD,,,,
Machiu,179,Primary,-33.889987,25.52665514,"https://www.google.com/maps?q=-33.88998711214483,25.526655139200766","https://www.google.com/maps?q=-33.88998711214483,25.526655139200766"
Magqabi,129,Primary,-33.824059,25.39385785,"https://www.google.com/maps?q=-33.82405867473399,25.393857851318838","https://www.google.com/maps?q=-33.82405867473399,25.393857851318838"
Malabar,181,Primary,-33.923769,25.54232072,"https://www.google.com/maps?q=-33.923768529430504,25.542320723862222","https://www.google.com/maps?q=-33.923768529430504,25.542320723862222"
Malikhanye Day Care,228,ECD,-33.801811,25.58439876,"https://www.google.com/maps?q=-33.801811,25.58439876","https://www.google.com/maps?q=-33.801811,25.58439876"
Masakhane,138,Primary,-33.874109,25.57717802,"https://www.google.com/maps?q=-33.8741085412824,25.577178022486272","https://www.google.com/maps?q=-33.8741085412824,25.577178022486272"
Masibambane,43,High School,-33.868488,25.58680271,"https://www.google.com/maps?q=-33.86848824799416,25.586802710839503","https://www.google.com/maps?q=-33.86848824799416,25.586802710839503"
Masiphathisane,18,High School,-33.796288,25.60202358,"https://www.google.com/maps?q=-33.796287928897115,25.60202357858626","https://www.google.com/maps?q=-33.796287928897115,25.60202357858626"
Mboniselo,101,Primary,-33.794105,25.60015771,"https://www.google.com/maps?q=-33.79410480296289,25.60015770898795","https://www.google.com/maps?q=-33.79410480296289,25.60015770898795"
Mdengentonga,119,Primary,-33.811679,25.57574208,"https://www.google.com/maps?q=-33.811679288041724,25.575742082001014","https://www.google.com/maps?q=-33.811679288041724,25.575742082001014"
Melisizwe,60,Primary,-33.790333,25.59184573,"https://www.google.com/maps?q=-33.790332751085955,25.591845726814704","https://www.google.com/maps?q=-33.790332751085955,25.591845726814704"
Melumzi,148,Primary,-33.82633,25.40384573,"https://www.google.com/maps?q=-33.82632954384306,25.403845725702336","https://www.google.com/maps?q=-33.82632954384306,25.403845725702336"
Mfesane,17,High School,-33.777149,25.58798611,"https://www.google.com/maps?q=-33.77714860880096,25.587986112681797","https://www.google.com/maps?q=-33.77714860880096,25.587986112681797"
Minnie Day Care,48,ECD,-33.804675,25.5811284,"https://www.google.com/maps?q=-33.804675,25.5811284","https://www.google.com/maps?q=-33.804675,25.5811284"
Missionvale,117,Primary,-33.888794,25.55549708,"https://www.google.com/maps?q=-33.888794036250005,25.55549708015783","https://www.google.com/maps?q=-33.888794036250005,25.55549708015783"
Mjuleni,177,Primary,-33.812569,25.375823,"https://www.google.com/maps?q=-33.81256923220451,25.375822995020258","https://www.google.com/maps?q=-33.81256923220451,25.375822995020258"
Mngcunube,152,Primary,-33.798171,25.39147278,"https://www.google.com/maps?q=-33.79817130670961,25.391472781524847","https://www.google.com/maps?q=-33.79817130670961,25.391472781524847"
